"id","origin_zip","destination_zip","equipment_type","origin_city","origin_state","destination_city","destination_state","rate_source","duration","target_rate","avg_rate","max_rate","miles","fuel_surcharge","created_userid","created_at","cache_date","updated_at","updated_userid","meta_data"
1,"60803","51565",2,Alsip,IL,Portsmouth,IA,Sonar,3,1067.06,1132.11,1194.78,477.47,0.00,,2024-04-19 04:52:43.361,2024-04-18 18:30:00.000,2024-04-19 04:52:43.361,,"{""effective_origin_radius"":81.95,""effective_dest_radius"":143.67000000000002,""effective_timeframe_in_days"":10.75,""effective_load_count"":218.33333333333337,""effective_miles"":477.4670547603333,""lane_confidence"":3.999999999999999,""total_load_count"":354.0}"
2,"19067","33801",2,Lower Makefield,PA,Lakeland,FL,Sonar,3,2167.37,2248.16,2336.43,1050.49,0.00,,2024-04-19 04:54:01.891,2024-04-18 18:30:00.000,2024-04-19 04:54:01.891,,null
3,"78040","51249",2,Laredo,TX,Cloverdale,IA,Sonar,3,2272.10,2335.98,2448.56,1168.47,0.00,,2024-04-19 04:54:02.294,2024-04-18 18:30:00.000,2024-04-19 04:54:02.294,,null
4,"19092","45133",2,Philadelphia,PA,Allensburg,OH,Sonar,3,1009.22,1051.83,1116.16,549.35,0.00,,2024-04-19 04:54:02.840,2024-04-18 18:30:00.000,2024-04-19 04:54:02.840,,null
5,"44502","60140",2,Youngstown,OH,Campton Hills,IL,Sonar,3,712.08,769.73,839.45,436.48,0.00,,2024-04-19 04:54:03.200,2024-04-18 18:30:00.000,2024-04-19 04:54:03.200,,null
6,"29650","21219",2,Greer,SC,Baltimore,MD,Sonar,3,1332.57,1431.98,1525.16,545.46,0.00,,2024-04-19 04:54:03.655,2024-04-18 18:30:00.000,2024-04-19 04:54:03.655,,null
7,"39455","78610",2,Baxterville,MS,Buda,TX,Sonar,3,935.34,1011.85,1130.31,601.86,0.00,,2024-04-19 04:54:04.189,2024-04-18 18:30:00.000,2024-04-19 04:54:04.189,,null
8,"89431","01013",2,Greenbrae,NV,Chicopee,MA,Sonar,3,4812.16,5046.67,5330.32,2793.44,0.00,,2024-04-19 04:54:04.569,2024-04-18 18:30:00.000,2024-04-19 04:54:04.569,,null
9,"16146","56401",2,Sharon,PA,Baxter,MN,Sonar,3,1488.56,1546.47,1606.56,974.21,0.00,,2024-04-19 04:54:05.001,2024-04-18 18:30:00.000,2024-04-19 04:54:05.001,,null
10,"52001","01537",2,Center Grove,IA,North Oxford,MA,Sonar,3,2240.32,2402.28,2595.81,1136.80,0.00,,2024-04-19 04:54:05.253,2024-04-18 18:30:00.000,2024-04-19 04:54:05.253,,null
11,"92335","92584",2,Fontana,CA,Menifee,CA,Sonar,3,376.85,428.90,481.63,48.75,0.00,,2024-04-19 04:54:05.360,2024-04-18 18:30:00.000,2024-04-19 04:54:05.360,,null
12,"35772","27284",2,Stevenson,AL,Guthrie,NC,Sonar,3,890.47,941.57,997.48,501.73,0.00,,2024-04-19 04:54:05.605,2024-04-18 18:30:00.000,2024-04-19 04:54:05.605,,null
13,"70112","38401",2,New Orleans,LA,Columbia,TN,Sonar,3,875.03,931.08,1006.96,487.06,0.00,,2024-04-19 04:54:06.306,2024-04-18 18:30:00.000,2024-04-19 04:54:06.306,,null
14,"47129","62002",2,Cementville,IN,Alton,IL,Sonar,3,668.72,705.24,728.47,276.46,0.00,,2024-04-19 04:54:06.755,2024-04-18 18:30:00.000,2024-04-19 04:54:06.755,,null
15,"36426","37402",2,Brewton,AL,Chattanooga,TN,Sonar,3,784.44,839.77,880.95,325.99,0.00,,2024-04-19 04:54:07.280,2024-04-18 18:30:00.000,2024-04-19 04:54:07.280,,null
16,"43351","30303",2,Upper Sandusky,OH,Atlanta,GA,Sonar,3,1291.34,1360.05,1436.26,590.29,0.00,,2024-04-19 04:54:07.730,2024-04-18 18:30:00.000,2024-04-19 04:54:07.730,,null
17,"43351","28202",2,Upper Sandusky,OH,Charlotte,NC,Sonar,3,1259.51,1317.19,1426.54,484.45,0.00,,2024-04-19 04:56:49.535,2024-04-18 18:30:00.000,2024-04-19 04:56:49.535,,null
18,"33563","32601",2,Plant City,FL,Gainesville,FL,Sonar,3,487.66,517.11,556.47,131.86,0.00,,2024-04-19 04:56:49.757,2024-04-18 18:30:00.000,2024-04-19 04:56:49.757,,null
19,"21201","22801",2,Baltimore,MD,Harrisonburg,VA,Sonar,3,720.06,972.74,1292.04,157.29,0.00,,2024-04-19 04:56:50.252,2024-04-18 18:30:00.000,2024-04-19 04:56:50.252,,null
20,"78040","37743",1,Laredo,TX,Baileyton,TN,Sonar,3,2031.81,2165.52,2301.12,1202.23,0.00,,2024-04-19 04:56:50.861,2024-04-18 18:30:00.000,2024-04-19 04:56:50.861,,null
21,"19067","33801",1,Lower Makefield,PA,Lakeland,FL,Sonar,3,2314.15,2357.75,2398.18,1050.49,0.00,,2024-04-19 04:56:51.242,2024-04-18 18:30:00.000,2024-04-19 04:56:51.242,,null
22,"78040","13146",1,Laredo,TX,Savannah,NY,Sonar,3,3632.69,3735.28,3893.22,1871.71,0.00,,2024-04-19 04:56:51.783,2024-04-18 18:30:00.000,2024-04-19 04:56:51.783,,null
23,"31520","71638",1,Altama,GA,Baxter,AR,Sonar,3,1369.33,1436.85,1562.46,815.16,0.00,,2024-04-19 04:56:51.919,2024-04-18 18:30:00.000,2024-04-19 04:56:51.919,,null
24,"36104","38301",2,Montgomery,AL,Jackson,TN,Sonar,3,764.30,788.17,810.21,311.97,0.00,,2024-04-19 04:56:52.256,2024-04-18 18:30:00.000,2024-04-19 04:56:52.256,,null
25,"60098","54935",2,Bull Valley,IL,Fond Du Lac,WI,Sonar,3,502.92,529.76,589.89,153.38,0.00,,2024-04-19 04:56:52.724,2024-04-18 18:30:00.000,2024-04-19 04:56:52.724,,null
26,"45011","04967",2,City View Heights,OH,Pittsfield,ME,Sonar,3,2126.28,2234.33,2361.84,1073.38,0.00,,2024-04-19 04:56:53.141,2024-04-18 18:30:00.000,2024-04-19 04:56:53.141,,null
27,"52001","03833",2,Center Grove,IA,Brentwood,NH,Sonar,3,2409.32,2815.64,2942.57,1181.38,0.00,,2024-04-19 04:56:53.541,2024-04-18 18:30:00.000,2024-04-19 04:56:53.541,,null
28,"21201","01103",2,Baltimore,MD,Springfield,MA,Sonar,3,888.23,970.32,1081.87,323.47,0.00,,2024-04-19 04:56:53.843,2024-04-18 18:30:00.000,2024-04-19 04:56:53.843,,null
